외국인투자기업정보,,,,,,,,,,,
,,,,,,,,,,,
회사명(한글),회사명(영문),전화번호,우편번호,주소,표준산업중분류명,표준산업분류명,표준산업분류코드,외투기업최초등록일자,대표업종,대표투자국가,업체유형
(주)뤼드 코리아,"Reed Korea Co.,Ltd.",,135080,"서울특별시 강남구 테헤란로 142, 11층(역삼동, 캐피탈타워)",비즈니스서비스업,고용알선업,75110,20101104,직업소개 및 채용대행업,몰타,법인기업
(주)류미에리나인터내셔널서울,Lumielina International Seoul Inc,25400120,135100,서울 강남구 청담동 80-6 (2층),도?소매(유통),건강보조식품 소매업,47216,20100316,(주)류미에리나인터내셔널서울,일본,법인기업
(주)류반안푸류스,"RUBANS EN PLUS CO.,LTD.",,135935,"경기도 고양시 일산서구 덕산로57번길 68-21, 2층 (구산동)",도?소매(유통),그외 기타 분류안된 상품 전문 소매업,47859,20141230,잡화 및 보냉제 무역업,일본,법인기업
(주)르네상스보이스,"RENAISSANICE VOICE CO.,LTD.",02-861-7689,151892,"서울특별시 관악구 신림로 340 22(신림동, 르네상스쇼핑몰 4층)",도?소매(유통),상품 종합 도매업,46800,20120926,의류 도소매업,중국,법인기업
(주)리글컬쳐,,02-537-1859,137040,서울 서초구 반포동 51-7 해성빌딩 비1 609,금융?보험,투자 자문업,66192,20111014,"경영자문, 재무자문, 투자자문서비스",호주,법인기업
(주)리나코리아,"Rena Korea Co.,Ltd",031-478-9106,431060,경기 안양시 동안구 관양동 1591 평촌아크로타워 에이동 612호,기계?장비,반도체 제조용 기계 제조업,29271,20090512,반도체 제조용 기계 제조업,독일,법인기업
(주)리낙코리아,"LINAK KOREA, LTD.",2,152746,"서울특별시 구로구 디지털로34길 27, 1009호 (구로동, 대륭포스트타워3차)",도?소매(유통),그외 기타 기계 및 장비 도매업,46599,20120524,그외기타기계및장비도매업,덴마크,법인기업
(주)리네아스토리아,,010-9264-7297,138916,"서울특별시 송파구 올림픽로 660, 505호(천호동)",도?소매(유통),의복액세서리 및 모조장신품 도매업,46417,20120605,"가발, 헤어익스텐션 등 도소매업",일본,법인기업
(주)리노셈,,,421808,"경기도 부천시 오정구 석천로 397, 103동 806호 (삼정동, 부천테크노파크 쌍용3차)",기계?장비,그외 기타 의료용 기기 제조업,27199,20150310,의료기기 제조 및 도소매업,일본,법인기업
(주)리뉴월드,"RENEW WORLD KOREA CO.,LTD.",1041192227,138130,서울 송파구 오금동 131-10 덕원빌딩 402호,도?소매(유통),통신장비 및 부품 도매업,46522,20120202,"통신장비 수입판매, 중고 컴퓨터 핸드폰 수리 판매 및 수출",미국,개인사업자
(주)리디아뉴미즈매틱컬렉션코리아,LIDYA NUMISMATIC COLLECTION KOREA CO.LTD,,135871,"서울특별시 강남구 영동대로 611, 10층 (삼성동, 찬앤찬타워)",도?소매(유통),그외 기타 분류안된 상품 전문 소매업,47859,20150406,"앤틱주화, 기념주화 판매대행",홍콩,법인기업
(주)리로디드스튜디오,"RELOADED STUDIOS, INC.",02-425-2137,138050,서울 송파구 방이동 65-7번지 한길빌딩 5층,비즈니스서비스업,온라인?모바일 게임 소프트웨어 개발 및 공급업,58211,20090113,온라인 게임개발업,싱가포르,법인기업
(주)리리,"LILI CO.,LTD",,690814,제주특별자치도 제주시 신대로16길 (연동 ) 50,음식?숙박,그외 기타 음식점업,56199,20160719,음식점,중국,법인기업
(주)리밍,LI MING,010-8477-7222,152020,서울 구로구 가리봉동 122-21,운수?창고(물류),기타 여행보조 및 예약 서비스업,75290,20110614,여행업,중국,법인기업
(주)리본테크,LEBORNTEC LTD,312988300,445915,경기 화성시 팔탄면 구장리 106-1 3층,공공?기타서비스,기타 환경 정화 및 복원업,39009,20100419,"환경관련재생 제조,무역",미국,법인기업
(주)리브리얼에이전시,"LIREAL AGENCIES CO.,LTD.",010-3705-0208,482160,경기도 양주시 칠봉산로168번길 266-19(회암동),도?소매(유통),상품 종합 도매업,46800,20130306,무역,나이지리아,법인기업
(주)리브인컴포트코리아,"LIVE IN COMPORT KOREA CO., LTD.",,135933,"서울특별시 종로구 종로 (청진동 그랑서울) 33, 비114호",도?소매(유통),상품 종합 도매업,46800,20160530,"방향제 및 잡화의 수입및 판매, 화장품의 수입 및 판매",일본,법인기업
(주)리브컨설팅코리아,"LIB CONSULTING KOREA CO., LTD.",010-2324-9803,110872,"서울특별시 종로구 사직로8길 34,12층1206호(내수동,경희궁의아침3단지오피스텔)",비즈니스서비스업,경영컨설팅업,71531,20121204,기업경영컨설팅업무,일본,법인기업
(주)리스펙트바이오,"RESPECTBIO, INC.",,133110,"서울특별시 성동구 광나루로6길 35, 제9층 906호, 907호(성수동2가, 성수동 우림이비즈센터)",화공,접착제 및 젤라틴 제조업,20493,20151207,산업용 단백질 제조업,중국,법인기업
(주)리아이콘,"LE AHICON CO.,LTD.",,110829,"서울특별시 종로구 난계로 27길 44-5, 506호 (숭인동, 해광빌딩)",도?소매(유통),셔츠 및 외의 도매업,46413,20141024,"여성의류 도소매, 수출입업, 여성의류 제조업, 통신판매업",말레이시아,법인기업
(주)리얼밸류,"REAL VALUE CO.,LTD.",010-4420-5666,701802,"대구광역시 동구 방촌로15길 87-7, 302(방촌동)",비즈니스서비스업,응용소프트웨어 개발 및 공급업,58222,20140404,컴퓨터프로그래밍서비스업,일본,법인기업
(주)리얼타임트레블솔루션,"REALTIME TRAVEL SOLUTION CO.,LTD",3704-2962,100814,서울특별시 중구 세종대로9길 60 (서소문동),운수?창고(물류),일반 및 국외 여행사업,75211,20050204,"여행사,기타여행알선업",덴마크,법인기업
(주)리엠스,"LEE EMS CO., LTD.",010-2695-1461,140909,"서울특별시 용산구 이촌로 1, 419호 (한강로 3가, 지에스한강에클라트)",도?소매(유통),기타 산업용 기계 및 장비 도매업,46539,20110525,기타 산업용 기계 및 장비 도매업,터키,법인기업
(주)리예리,RIYERI,010-3387-8560,135080,서울 강남구 역삼동 738-34 6층,비즈니스서비스업,경영컨설팅업,71531,20041215,IT컨설팅,일본,법인기업
(주)리오그릴,"RIO GRIL CO., LTD.",031-656-7136,451808,경기도 평택시 팽성읍 안정로 163,음식?숙박,서양식 음식점업,56114,20121129,서양음식점업,브라질,법인기업
(주)리오틴토코리아리미티드,RIO TINTO FERROUS MATERIALS LIMITED,,135280,"서울특별시 강남구 테헤란로79길 6(삼성동.,20)",비즈니스서비스업,그외 기타 분류안된 사업지원 서비스업,75999,20040920,"경영 및 판매컨설팅, 지원",영국,법인기업
(주)리자오스틸인터내셔널코리아,"RIZHAO STEEL INTERNATIONAL KOREA CO.,LTD",,150875,서울특별시 영등포구 여의대로 8 비동 3001호(여의도동),도?소매(유통),상품 종합 도매업,46800,20150730,"철강무역, 도소매, 수출입",버진아일랜드,법인기업
(주)리첸테크닉스,,02-6679-8707,152877,"서울특별시 구로구 구로동로 47길 24-22 410(구로동,스위트팰리스오피스텔)",도?소매(유통),전기용 기계장비 및 관련 기자재 도매업,46594,20091102,전자부품도소매 및 수출입,중국,법인기업
(주)리카본코리아,"RECARBON KOREA CO.,LTD",,157865,"서울특별시 강서구 양천로 401, 9층 비909호(가양동, 강서한강자이타워)",종합건설,폐기물처리 및 오염방지시설 건설업,41224,20151027,이산화탄소 저감장치 설치,미국,법인기업
(주)리코,RECO INC.,,443823,"경기도 수원시 영통구 신원로 (원천동 ) 88, 103동 801호",전기?전자,그외 기타 전기장비 제조업,28909,20160623,"전자기기,전자제품 제조업",뉴질랜드,법인기업
(주)리크머스코리아,RICKMERS (KOREA) INC.,02-319-0051,100092,서울 중구 남대문로2가 118 한진빌딩 23층 2305,운수?창고(물류),기타 해상 운송업,50130,20071031,"해상운송업,선박대리점업,해외선원공급업",독일,법인기업
(주)리테크,"LEE-TECH CO., LTD.",052-258-4560,683420,울산광역시 북구 중산산업로 (중산동 ) 2길 39,도?소매(유통),수송용 기계 및 장비 도매업,46593,20130304,선박엔진부품,스웨덴,법인기업
(주)리힝코리아,"LEEHING KOREA CO.,LTD.",010-3494-3472,361230,충북 청주시 흥덕구 성화동 899 103,도?소매(유통),상품 종합 도매업,46800,20121127,"무역, 도소매",영국,법인기업
(주)린켐코리아,"RINCHEM KOREA CO.,LTD.",,451865,경기도 평택시 진위면 삼남로 ( ) 647,운수?창고(물류),기타 보관 및 창고업,52109,20151118,기타 보관 및 창고업,미국,법인기업
(주)립티스그룹,"LIPTS GROUP CO, LTD.",2247-6824,130100,서울 동대문구 장안동 218-11호내 2층 2호,도?소매(유통),상품 종합 도매업,46800,20060914,자동차부품 무역업,리비아,법인기업
(주)릿첼코리아,RICHELL KOREA CORPORATION,02-701-2091,121898,"서울특별시 마포구 월드컵북로 4길 31 (동교동, 한경헌디자인빌딩2층)",도?소매(유통),상품 종합 도매업,46800,20120327,일용잡화품 및 가정용전기제품의 제조및 판매,일본,법인기업
(주)링케이지아코리아,"LINKAZIA KOREA CO.,LTD",1544-9155,135874,"서울특별시 강남구 선릉로 108길 9, 3층",비즈니스서비스업,데이터베이스 및 온라인정보 제공업,63991,20120625,온라인 정보제공,싱가포르,법인기업
(주)링크업코리아,LINKUP KOREA CORPORATION,010-7771-8942,137953,"서울특별시 서초구 반포대로14길 71, 4층 429호 (서초동)",도?소매(유통),기타 상품 중개업,46109,20120328,"건축내장재의 기획,개발,제조,수입및 판매",일본,법인기업
(주)링크잇코리아,"LINK IT KOREA CO., LTD.",,130871,서울특별시 동대문구 홍릉로 (청량리동 ) 65,도?소매(유통),"섬유, 의복, 신발 및 가죽제품 중개업",46103,20140930,의류도매업,일본,법인기업
(주)마그넥스,MAGNEX INC.,24651154,137030,서울 서초구 잠원동 20-9 휴먼타워 701호,기계?장비,그외 기타 의료용 기기 제조업,27199,20110824,의료기기제조및판매,버진아일랜드,법인기업
(주)마네스트만인베스트먼트,"MANESTMAN INVESTMENT CO., LTD.",018-352-0232,140842,서울특별시 용산구 신흥로 62-5 (용산동2가),도?소매(유통),상품 종합 도매업,46800,20130704,상품종합도매업,나이지리아,법인기업
(주)마드니인터내셔날,"MADNI INTL.,LTD.",010.5122.6521,136818,서울특별시 성북구 돌곶이로22길 54-18(석관동),도?소매(유통),상품 종합 도매업,46800,20130326,무역,파키스탄,법인기업
(주)마디나트레이드캄포니,MADINA TRADE COMPANY,010-9953-5331,400160,"인천광역시 중구 개항로 98-1, 505(경동, 제2호대웅오피스텔)",도?소매(유통),중고 자동차 판매업,45120,20130701,"도매, 자동차수출",파키스탄,법인기업
(주)마루엠씨에스,MAROOMCS INC,15999882,361540,충북 청주시 흥덕구 송절동 129,전기?전자,"전자코일, 변성기 및 기타 전자유도자 제조업",26295,20110909,"전자코일, 변성기 및 기타전자유도자제조업",태국,법인기업
(주)마루이앤티,MaRu ENT,,780802,경상북도 경주시 안강읍 두류길 218-58,기타제조,금속원료 재생업,38301,20150626,금속 재생,중국,법인기업
(주)마루카네코리아,"MARUKANE KOREA CO.,LTD.",011-748-5792,320837,충남 논산시 연무읍 동안로 515-9,식품,그외 기타 식료품 제조업,10799,20120810,기타 상품 중개업,일본,법인기업
(주)마르잔코퍼레이션,"MARJAN CORPORATION CO., LTD.",010-8962-9795,100411,"서울특별시 중구 동호로34길 19-0, 2층(광희동1가)",도?소매(유통),상품 종합 도매업,46800,20130409,상품 종합 무역업,파키스탄,법인기업
(주)마르크트코리아,"MARKT KOREA CO.,LTD",,100861,서울특별시 중구 명동8길 27 (명동2가),음식?숙박,서양식 음식점업,56114,20151021,"음식(경양식), 경영컨설팅 서비스",일본,법인기업
(주)마리솔리스,MARIE SOLIS CORP,010-7113-6888,140021,서울 용산구 용산동1가 2-8 주한미8군영내마트,도?소매(유통),가전제품 및 부품 도매업,46521,20130729,휴대폰 악세사리 소매업/전자기기 소매업,필리핀,법인기업
(주)마리온,"MARION CO., LTD.",010-4731-6867,449864,경기도 용인시 처인구 백암면 황새울로 256,문화?오락,공연 기획업,90191,20121231,"공연기획업, 도소매",몽골,법인기업
(주)마리타임멀챈트,"MARITIME MERCHANT CO.,LTD",,612020,"부산광역시 해운대구 센텀서로 30,803호(우동, KNN타워)",도?소매(유통),상품 종합 도매업,46800,20150603,상품종합도매업,러시아,법인기업
(주)마린레스코,,032-324-2734,402060,인천 남구 도화동 767-5,도?소매(유통),운동 및 경기용품 도매업,46464,20080221,레져 스포츠 용품 도소매,일본,법인기업
(주)마린로지스틱스코리아,MARINE LOGISTICS KOREA LIMITED,557-2488,110061,"서울특별시 동대문구 한천로 14, 302호 (장안동)",도?소매(유통),기타 상품 중개업,46109,20111125,"석유,석탄류의 도소매 및 중개업",홍콩,법인기업
(주)마린인슐레이션서비스,"MARINE INSULATION SERVICE CO., LTD.",1042280534,682020,울산 동구 방어동 290-41번지 에스코빌 6 202호,운송용기계,선박 구성부분품 제조업,31114,20110318,제조업,영국,법인기업
(주)마무드트레이딩,"MAHMUD TRADING CO.,LTD",032-831-6199,406838,인천광역시 연수구 독배로90번길 38(옥련동),도?소매(유통),상품 종합 도매업,46800,20140203,"중고차수출, 무역",요르단,법인기업
(주)마무트코리아,MAMMUT KOREA INC.,02-553-3346,137851,"서울특별시 서초구 남부순환로 2215 (방배동, 서초타워9층)",도?소매(유통),셔츠 및 외의 도매업,46413,20120705,"셔츠 및 외의 도매업, 운동 및 경기용품 도매업, 셔츠 및 기타 의복 소매업, 운동 및 경기용품 소매업",스위스,법인기업
(주)마부치엔지니어링코리아,"MABUCHI ENGINEERING KOREA CO.,LTD.",,431810,"경기도 안양시 동안구 학의로 282, 319호(관양동, 금강펜테리움)",전기?전자,전동기 및 발전기 제조업,28111,20150703,신재생에너지관련제작및제조업,일본,법인기업
(주)마부치코리아,MABUCHI KOREA CORPORATION,02-900-5374,139838,"서울특별시 노원구 동일로 1419 (상계동, 7층2호)",도?소매(유통),상품 종합 도매업,46800,20030925,광학제품관련 원부자재도매,일본,법인기업
(주)마살라인디안레스토랑,MASALA INDIAN RESTAURANT,,420852,"경기도 부천시 원미구 석천로 169번길 30 302호(중동, 새롬프라자)",음식?숙박,기타 외국식 음식점업,56119,20150618,음식점업,파키스탄,법인기업
(주)마성선박,"MASUNG SHIPPING CO., LTD.",061-685-5544,151050,서울 관악구 봉천동 1659-4 동림오피스텔 1203호,운송용기계,선박 구성부분품 제조업,31114,20091117,선박제조,싱가포르,법인기업
(주)마스요네코리아,"MASUYONE KOREA CO., LTD.",010-8718-3211,110111,서울특별시 종로구 삼일대로15길 21 (관철동),도?소매(유통),수산물 가공식품 도매업,46322,20130131,"식료품 판매, 어개류 판매, 음식점 영업",일본,법인기업
(주)마스턴제8호한국일보피에프브이,"MASTERN NO.8 HANKOOK-ILBO PFV CO., LTD.",23164114,137885,"서울특별시 서초구 서초대로 396, 15층",부동산?임대,비주거용 건물 개발 및 공급업,68122,20140430,"비거주용 건물 개발 및 공급업, 비거주용 건물 임대업",네덜란드,SPC(특수목적회사)
(주)마이리얼트립,MYREALTRIP INC.,,137927,"서울특별시 서초구 반포대로4길 11, 신수미하빌딩 2층(서초동)",운수?창고(물류),일반 및 국외 여행사업,75211,20151016,여행상품 중개,미국,법인기업
(주)마이삭스코리아,MY SOCKS KOREA LTD.,032-322-5665,420020,경기 부천시 원미구 중동1141-1 무광오피스빌딩 405호,도?소매(유통),상품 종합 도매업,46800,20090317,양말제조 및 무역업,미국,법인기업
(주)마이아이덴티티,MY IDENTITY,010-4613-9076,441440,"경기도 수원시 권선구 하탑로41번길 41(탑동, 해피타운)",공공?기타서비스,노인 요양 복지시설 운영업,87111,20140626,"부동산, 노인요양시설",일본,법인기업
(주)마이아이덴티티,"MY IDENTITY CO.,LTD",,306813,대전광역시 대덕구 동춘당로94번길 (송촌동 광혜빌딩) 11-7 8층,공공?기타서비스,노인 요양 복지시설 운영업,87111,20151130,노인요양사업,일본,법인기업
(주)마이인상,MY IMPRESSION,,130876,서울특별시 동대문구 망우로21길 (휘경동 ) 52 C동 2층,도?소매(유통),화장품 도매업,46443,20150114,화장품 도소매업,중국,법인기업
(주)마이컨설팅코리아,"MY CONSULTING KOREA CO.,LTD.",,135080,"서울특별시 강남구 봉은사로 230, 5층 (역삼동, 봉암빌딩)",비즈니스서비스업,경영컨설팅업,71531,20150921,자산운영 관련 컨설팅,일본,법인기업
(주)마이쿤,"MYCOON CO.,LTD.",070-7690-7988,135827,서울특별시 강남구 강남대로 120길 38 (논현동),비즈니스서비스업,응용소프트웨어 개발 및 공급업,58222,20131211,모바일소프트웨어 개발 및 판매업,케이만군도,법인기업
(주)마이크로알에프,MICRORF CO. LTD,0,153023,서울 금천구 가산동 327-32 대륭테크노타운12차 1107호,비즈니스서비스업,전기?전자공학 연구개발업,70121,20120816,"연구개발업,전자통신제품제조, 무역 도매, 부동산 전대",케이만군도,법인기업
(주)마이크로애드코리아,"MICROAD KOREA, INC.",25960110,137885,"서울특별시 서초구 서초대로 77길 54, 1235호 (서초동, W타워)",비즈니스서비스업,광고 대행업,71310,20140813,광고대리점사업,싱가포르,법인기업
(주)마이크로컨텍솔루션,MICRO CONTACT SOLUTION,041-621-4331,330831,충남 천안시 성거읍 오색당리 91번지,전기?전자,"전기회로 개폐, 보호 및 접속 장치 제조업",28121,20000107,기기용전기회로개폐보호접속장비제조업,일본,법인기업
(주)마이크로프리시즌코리아,"MICROPRECISION KOREA, INC.",,152906,"서울특별시 영등포구 경인로 775 3동 504호(문래동 3가, 에이스하이테크시티)",비즈니스서비스업,"그외 기타 분류안된 전문, 과학 및 기술 서비스업",73909,20150302,계측 장비 교정 서비스,버진아일랜드,법인기업
(주)마이프렌드,"MY FRIEND CO.,LTD.",010-3148-8496,406807,"인천광역시 연수구 학나래로5번길 22, 1층(선학동)",음식?숙박,서양식 음식점업,56114,20121214,음식점업,몽골,법인기업
(주)마일스톤,"MILESTONE CO.,LTD.",010-5945-3938,482160,경기도 양주시 칠봉산로 55-22(회암동),도?소매(유통),상품 종합 도매업,46800,20130103,상품종합도매업,나이지리아,법인기업
(주)마크세븐,"MARKSEVEN CO.,LTD.",,135956,"서울특별시 강남구 언주로168길 (신사동 ) 6, 지하1층",공공?기타서비스,그외 기타 달리 분류되지 않은 개인 서비스업,96999,20160330,이벤스서비스업,케이만군도,법인기업
(주)마크에이트코퍼레이션,"MARK EIGHT CORPORATION CO., LTD.",070-8225-1103,135954,"서울특별시 강남구 선릉로 704, 1241-2호 (청담동, 청담빌딩 )",전기?전자,"라디오, 녹음 및 재생 기기 제조업",26521,20140827,전자제품제조업,버진아일랜드,법인기업
(주)마키아프로젝트,MAKEA PROJECT INC.,02-3443-0156,137898,"서울특별시 서초구 강남대로2길 60 (양재동, 1층)",비즈니스서비스업,데이터베이스 및 온라인정보 제공업,63991,20131120,온라인정보제공업,일본,법인기업
(주)만갈트레이딩,"MANGAR TRADING CO.,LTD.",1020320716,703807,대구광역시 서구 평리로 35길 13-16 (중리동),도?소매(유통),중고 자동차 판매업,45120,20130306,"중고자동차, 중고기계수출",파키스탄,법인기업
(주)만스트레이딩,"MANS TRADING CO.,LTD",,467854,경기 이천시 대월면 대평로 131,도?소매(유통),상품 종합 도매업,46800,20150305,상품종합도소매업,요르단,법인기업
(주)만승이엔지,"MAN SEUNG ENG CO., LTD.",061-464-1006,526891,전라남도 영암군 삼호읍 대불산단1로 90,금속,그외 기타 금속가공업,25929,20140312,"기계부품 제작업 (배관, 파이프)",브라질,법인기업
(주)만양홀딩스,MANYANG HOLDINGS,,415816,"경기도 김포시 고촌읍 아라육로 20, 2층",부동산?임대,기타 부동산 개발 및 공급업,68129,20160112,"부동산 개발, 분양, 컨설팅업",중국,법인기업
(주)만유,MANYU,010-8362-5288,152877,"서울특별시 영등포구 도림천로 367, 지하층(대림동)",음식?숙박,중식 음식점업,56112,20121011,중식 음식점업,중국,법인기업
(주)말릭,"MALLICK CO.,LTD.",,999999,"서울특별시 광진구 용마산로 (중곡동 ) 101-1, 지하1층",섬유?직물?의류,침구 및 관련제품 제조업,13221,20160725,"이불제조업, 무역업(이불 등)",방글라데시,법인기업
(주)맙크리트,"MOBCRETE, INC.",02-507-8770,427060,경기 과천시 과천동 455-16 2층,비즈니스서비스업,온라인?모바일 게임 소프트웨어 개발 및 공급업,58211,20120706,"소프트웨어개발업, 전자상거래업",홍콩,법인기업
(주)매니콘코리아,"MENICON KOREA CO.,LTD.",02-3787-6856,121869,"서울특별시 구로구 디지털로26길 (구로동 ) 61, 203호(구로동, 에이스하이엔드타워2차)",도?소매(유통),"의료, 정밀 및 과학기기 도매업",46592,20140422,콘택트렌즈 및 케어용품 수입 및 파내,일본,법인기업
(주)매리,"MERRY AND CO., LTD.",02-322-2394,121819,서울 마포구 동교동 200-24,도?소매(유통),상품 종합 도매업,46800,20081113,상품종합도매업,홍콩,법인기업
(주)매시,"MACY CO.,LTD.",010.8267.8910,402807,"인천광역시 연수구 먼우금로 245 (연수동,8층)",도?소매(유통),상품 종합 도매업,46800,20130214,무역,파키스탄,법인기업
(주)매지링크,"MAGILINK CO., LTD.",3406-7716,137070,"서울특별시 강남구 테헤란로 (역삼동 아주빌딩) 328, 7층(역삼동, 동우빌딩)",문화?오락,유선방송업,60222,20071113,"종합유선,기타유선방송업",라부안,법인기업
(주)매직테이스트,,02-542-1531,135897,서울 강남구 신사동 666-14,도?소매(유통),기타 비가공 식품 도매업,46319,20080912,식자재유통,캐나다,법인기업
(주)매크로오션,"MACRO OCEAN CO.,LTD.",,100070,"서울특별시 중구 남대문로7길 11, 802 (소공동 태양빌딩)",운수?창고(물류),기타 해상 운송업,50130,20151103,해상운송업,인도네시아,법인기업
(주)매트로폴리탄푸드컴페니,METROPOLITAN FOOD COMPANY PTE.LTD,010-7404-8898,140025,서울 용산구 용산동5가 24 파크타워 103동 903호,도?소매(유통),기타 가공식품 도매업,46329,20130311,식품업,싱가포르,법인기업
(주)매트릭스에이티,"MATRIX APPLIED TECHNOLOGIES.,LTD",031-949-6853,413843,경기도 파주시 문산읍 돈유2로 ( ) 90,금속,설치용 금속탱크 및 저장용기 제조업,25122,19991213,설치용금속탱크등제조,영국,법인기업
(주)맥스텍,,031-231-1919,441822,경기 수원시 권선구 권선동 1011-5 중앙빌딩 4층,도?소매(유통),그외 기타 상품전문 도매업,46799,20100809,"무역, 통신공사업, 파견업",중국,법인기업
(주)맥스텔,"MAXTEL CO.,LTD.",032-330-1712,403856,인천 부평구 청천1동 175-30,전기?전자,그외 기타 전기장비 제조업,28909,20101224,"전기전자제품 제조, 판매",일본,법인기업
(주)맥스포,MAXFOR Technology Inc,031-705-4650,463816,경기 성남시 분당구 야탑동 151 분당테크노파크 이동 809호,전기?전자,방송장비 제조업,26421,20081229,"정보통신기기 및 주변기기 개발, 제조 및 판매업",케이만군도,법인기업
(주)맥슨모터매뉴팩처링,,34863401,330891,충청남도 천안시 동남구 성남면 용원3길 ( ) 26,기계?장비,기타 가공공작기계 제조업,29229,20120801,"고정밀 드라이브 및 모터관련 제조, 마케팅, 공급, 판매등",스위스,법인기업
(주)맥슨모터코리아,MAXON MOTOR KOREA LTD,02-3486-3441,137070,"서울 서초구 서초동 1591-3 탑스밴처타워 B/D, 3F",도?소매(유통),그외 기타 상품전문 도매업,46799,20001221,수입 수출 판매업,스위스,법인기업
(주)맥쓰리코리아,"MEC3 KOREA CO.,LTD.",02-537-1825,100871,"서울특별시 중구 퇴계로 447,3층 330호 (황학동, 대림아크로타워)",도?소매(유통),상품 종합 도매업,46800,20131206,"식품,음료,식재료 도소매업",이탈리아,법인기업
(주)맥인터내셔날,MAC INTERNATIONAL,010.7262.7172,140825,서울특별시 용산구 우사단로4길 1-5 (보광동),도?소매(유통),상품 종합 도매업,46800,20130201,(주)맥인터내셔날,파키스탄,법인기업
(주)맥코어,"MACORE INTERNATIONAL CO., LTD.",031-2810-780,446909,경기도 용인시 기흥구 지삼로 244,화공,그외 기타 플라스틱 제품 제조업,22299,20120420,"생활용품 제조업, 도소매업",중국,법인기업
(주)맥클린포그컴포넌트솔루션코리아,"MACLEAN-FOGG COMPONENT SOLUTIONS KOREA CO., LTD.",.,100768,서울 중구 태평로1가 84 파이낸스빌딩 21층 26호,비즈니스서비스업,그외 기타 광고업,71399,20080619,판매촉진지원업 및 품질검사관련업,미국,법인기업
(주)맥파크원코리아,MACPARC 1 KOREA LTD.,02-528-5225,100768,서울 중구 태평로1가 84 서울파이낸스센터 21층,부동산?임대,비주거용 건물 임대업,68112,20100917,부동산업 및 임대업,싱가포르,법인기업
(주)맨파워코리아,MANPOWER KOREA INC.,02-6420-0313,135090,"서울 강남구 삼성동 141-28,29,30 동신빌딩 11층",비즈니스서비스업,인력공급업,75120,19990121,인력공급업.고용알선업 등,미국,법인기업
(주)맵코리아,"MEP KOREA CO., LTD.",055-383-8006,626110,경상남도 김해시 주촌면 서부로1541번길 ( ) 164-27,화공,일반용 도료 및 관련제품 제조업,20421,20131126,도료 및 관련제품 제조업,영국,법인기업
(주)머노까머나,"MANOKAMANA CO., LTD",010-7688-8850,136075,"서울특별시 서대문구 연세로 11길 13, 2층(창천동)",음식?숙박,기타 외국식 음식점업,56119,20121126,인도음식 전문,네팔,법인기업
(주)머니라이프대부,"MONEYLIFE CO., LTD",02-6310-3014,135080,서울 강남구 역삼동 648-15 신원빌딩 4층,금융?보험,그외 기타 분류안된 금융업,64999,20060817,"금융업,대금업",일본,법인기업
(주)머큐리오버시즈코리아,"MERCURY OVERSEAS KOREA CO., LTD",02-515-6441,135080,서울 강남구 역삼동 728 지산빌딩 601,도?소매(유통),상품종합 중개업,46105,20120308,"무역업, 중개업",미국,법인기업
(주)메가벤쳐,"MEGA VENTURE CO.,LTD.",,140867,"서울특별시 용산구 녹사평대로 26길 4, 지하 1층 비 104호 (이태원동, 대진빌딩)",도?소매(유통),상품 종합 도매업,46800,20150907,도소매업,가나,법인기업
(주)메가트럭,,222472032,133851,서울 성동구 용답동 238-2 오르세빌딩 808,도?소매(유통),건설?광업용 기계 및 장비 도매업,46532,20111019,중고중장비매매,러시아,법인기업
(주)메구미,"MEGUMI CO.,LTD.",,429100,"세종특별자치시 도움8로 (어진동 세종마치) 91, 406호",비즈니스서비스업,경영컨설팅업,71531,20140922,경영컨설팅,일본,법인기업
(주)메구미코퍼레이션,MEKUMI CORPORATION,27900779,140891,"서울특별시 용산구 이태원로 238, 1층(한남동)",음식?숙박,일식 음식점업,56113,20130710,음식점업,일본,법인기업
(주)메달리스트코리아,"MEDALIST KOREA CO., LTD.",02-804-4544,462120,경기 성남시 중원구 상대원동 513-14,식품,기타 비알콜음료 제조업,11209,20090625,음료수 제조 가공 유통,일본,법인기업
(주)메덱셀,,031-677-8004,456862,경기 안성시 금광면 금광리 536-65,기계?장비,그외 기타 의료용 기기 제조업,27199,20000731,안전주사기 제조업,미국,법인기업
(주)메디센서,"Medisensor, Inc.",070-8740-4450,704230,"대구 달서구 호산동 711 대구테크노파크 1231호, 1235호",기계?장비,그외 기타 의료용 기기 제조업,27199,20100318,초고감도 의료진단장비 개발 및 생산,미국,법인기업
(주)메디씨앤씨,"MediC&C Co.,Ltd.",718-8323,121050,서울 마포구 마포동 140 다보빌딩 6층,도?소매(유통),"의료, 정밀 및 과학기기 도매업",46592,20050614,"의료장비중개업,의료장비도매업,의료장비수출입업,도매및 상품중개",미국,법인기업
(주)메디안디노스틱,Median Diagnostics Inc.,,200882,강원도 춘천시 동내면 순환대로 878 (거두리),의약,의료용품 및 기타 의약관련제품 제조업,21300,20151217,의료용품 및 기타 의약관련제품,케이만군도,법인기업
(주)메디엔인터내셔날,,0,431060,경기 안양시 동안구 관양동 954-77,비즈니스서비스업,시스템 소프트웨어 개발 및 공급업,58221,20130513,"반도체칩, 소프트웨어 컴퓨터 및 주변기기 개발, 제조 및 유통",케이만군도,법인기업
